WKT,name,description,AreaID
"POLYGON ((52.398134 29.840794, 52.383371 29.833646, 52.368909 29.844926, 52.355584 29.836084, 52.355531 29.83226, 52.369151 29.825061, 52.379509 29.82419, 52.3941 29.80952, 52.39822 29.794922, 52.393242 29.788814, 52.393414 29.782557, 52.404639 29.775484, 52.406656 29.770604, 52.448499 29.781928, 52.451347 29.793206, 52.438645 29.800953, 52.442701 29.805143, 52.438485 29.813624, 52.441393 29.818158, 52.41985 29.833349, 52.398134 29.840794))",دوکوهک - گویم,SH3-Suburban,221
"POLYGON ((52.543008 29.787954, 52.50284 29.819979, 52.454088 29.839636, 52.428682 29.846486, 52.417588 29.83422, 52.41985 29.833349, 52.441393 29.818158, 52.438485 29.813624, 52.442701 29.805143, 52.438645 29.800953, 52.451347 29.793206, 52.448499 29.781928, 52.449271 29.76915, 52.448371 29.7594, 52.456216 29.737731, 52.495484 29.763376, 52.525769 29.77634, 52.557771 29.767542, 52.569959 29.781994, 52.559574 29.794509, 52.551162 29.794509, 52.543008 29.787954))",شهر صدرا,SH3-Suburban,212
"POLYGON ((52.449271 29.76915, 52.448499 29.781928, 52.423093 29.775334, 52.406656 29.770604, 52.404639 29.775484, 52.391164 29.773025, 52.395686 29.759967, 52.390596 29.754434, 52.401787 29.748734, 52.413523 29.744636, 52.422654 29.737566, 52.41771 29.733403, 52.425714 29.728502, 52.433674 29.715309, 52.436415 29.718201, 52.43965 29.720795, 52.444746 29.723803, 52.431426 29.752156, 52.448371 29.7594, 52.449271 29.76915))",گلستان,SH3-Suburban,218
"POLYGON ((52.475119 29.708008, 52.476149 29.70648, 52.483058 29.703871, 52.492049 29.700852, 52.501576 29.698223, 52.50193 29.699388, 52.500718 29.702473, 52.500139 29.705064, 52.496598 29.708046, 52.494689 29.70894, 52.492328 29.709928, 52.484947 29.712034, 52.480097 29.716991, 52.482174 29.726239, 52.475582 29.732654, 52.456216 29.737731, 52.448371 29.7594, 52.431426 29.752156, 52.444746 29.723803, 52.448662 29.726141, 52.452315 29.724192, 52.458482 29.717946, 52.462953 29.716216, 52.467123 29.713928, 52.471658 29.710987, 52.475119 29.708008))",جوادیه - شهرک پردیس,SH3-Suburban,215
"POLYGON ((52.483058 29.703871, 52.476149 29.70648, 52.475119 29.708008, 52.471658 29.710987, 52.467123 29.713928, 52.462953 29.716216, 52.458423 29.718006, 52.452315 29.724192, 52.448662 29.726141, 52.444746 29.723803, 52.43965 29.720795, 52.433674 29.715309, 52.423798 29.710737, 52.424422 29.693199, 52.446533 29.675332, 52.466542 29.683266, 52.474567 29.68624, 52.486735 29.69455, 52.483058 29.703871))",معالی آباد - دینکان - صنایع,SH0-North,213
"POLYGON ((52.443624 29.66793, 52.446436 29.652228, 52.449322 29.642028, 52.452438 29.629877, 52.455468 29.632051, 52.463516 29.640315, 52.468146 29.645199, 52.462142 29.67602, 52.465512 29.683266, 52.445503 29.675332, 52.443624 29.66793))",فرهنگ شهر,SH0-North,220
"POLYGON ((52.555709 29.633688, 52.5518337 29.6350268, 52.5534948 29.6384545, 52.5486628 29.6415796, 52.545977 29.6401956, 52.537497 29.64919, 52.51458 29.654001, 52.498524 29.671575, 52.486735 29.69455, 52.474567 29.68624, 52.466542 29.683266, 52.463172 29.67602, 52.469176 29.645199, 52.49026 29.616899, 52.513328 29.615826, 52.521176 29.615303, 52.524218 29.61381, 52.534106 29.619908, 52.544687 29.626683, 52.54964 29.62985, 52.555709 29.633688))",ارم - عفیف آباد - قصرالدشت,SH0-North,219
"POLYGON ((52.469176 29.645199, 52.456676 29.632172, 52.453468 29.629877, 52.454798 29.61834, 52.497349 29.596127, 52.524223 29.613781, 52.521182 29.615275, 52.513333 29.615798, 52.490266 29.616871, 52.469176 29.645199))",بلوار امیرکبیر,SH1-Center,261
"POLYGON ((52.573583 29.619258, 52.570136 29.623686, 52.569274 29.628724, 52.5646352 29.6333519, 52.5626934 29.6366719, 52.5544858 29.6364855, 52.555709 29.633688, 52.524218 29.61381, 52.497349 29.596127, 52.524217 29.580532, 52.534485 29.588195, 52.573583 29.619258))",شاه چراغ - حافظیه,SH1-Center,211
"POLYGON ((52.454798 29.61834, 52.453468 29.629877, 52.42949 29.62446, 52.429202 29.618146, 52.462138 29.5889, 52.475509 29.56442, 52.492556 29.556778, 52.50102 29.563022, 52.524217 29.580532, 52.497349 29.596127, 52.454798 29.61834))",کمربندی,SH2-South,216
"POLYGON ((52.581123 29.576259, 52.575286 29.573273, 52.534485 29.588195, 52.524217 29.580532, 52.50102 29.563022, 52.518724 29.552966, 52.534774 29.54886, 52.552884 29.542363, 52.562497 29.557073, 52.577518 29.561104, 52.575715 29.566554, 52.586187 29.570586, 52.581123 29.576259))",شهرک ابوذر,SH2-South,210
"POLYGON ((52.573583 29.619258, 52.534485 29.588195, 52.575286 29.573273, 52.581123 29.576259, 52.590736 29.583275, 52.594856 29.590888, 52.595673 29.597827, 52.599128 29.603676, 52.587047 29.610495, 52.593482 29.616262, 52.603524 29.628423, 52.599662 29.633571, 52.592184 29.632617, 52.588568 29.62823, 52.584341 29.631693, 52.578375 29.630933, 52.579577 29.625309, 52.570136 29.623686, 52.573583 29.619258))",مدرس جنوب - بهار,SH2-South,214
"POLYGON ((52.599128 29.603676, 52.595673 29.597827, 52.594856 29.590888, 52.590736 29.583275, 52.581123 29.576259, 52.586187 29.570586, 52.575715 29.566554, 52.577518 29.561104, 52.587217 29.546097, 52.599061 29.551025, 52.609189 29.536539, 52.621119 29.539676, 52.632707 29.5455, 52.6339943 29.5552434, 52.6464396 29.5542727, 52.646226 29.5590696, 52.6634138 29.5551594, 52.6618805 29.5657103, 52.6316344 29.572153, 52.616142 29.587604, 52.599128 29.603676))",فرودگاه‎,SH2-South,217
